ICD10,PHECODE,Exl. Phecodes,Excl. Phenotypes
A157,10.0,010-041.99,bacterial infection
A159,10.0,010-041.99,bacterial infection
A159,41.0,010-041.99,bacterial infection
A160,10.0,010-041.99,bacterial infection
A161,10.0,010-041.99,bacterial infection
A162,10.0,010-041.99,bacterial infection
A163,10.0,010-041.99,bacterial infection
A164,10.0,010-041.99,bacterial infection
A165,10.0,010-041.99,bacterial infection
A167,10.0,010-041.99,bacterial infection
A169,10.0,010-041.99,bacterial infection
A170,10.0,010-041.99,bacterial infection
A171,10.0,010-041.99,bacterial infection
A178,10.0,010-041.99,bacterial infection
A180,10.0,010-041.99,bacterial infection
A181,10.0,010-041.99,bacterial infection
A182,10.0,010-041.99,bacterial infection
A183,10.0,010-041.99,bacterial infection
A184,10.0,010-041.99,bacterial infection
A185,10.0,010-041.99,bacterial infection
A187,10.0,010-041.99,bacterial infection
A188,10.0,010-041.99,bacterial infection
A190,10.0,010-041.99,bacterial infection
A192,10.0,010-041.99,bacterial infection
A199,10.0,010-041.99,bacterial infection
A201,686.0,680-686.99,Skin and subcutaneous tissue infections
A202,480.1,480-488.99,Pneumonia and influenza
A203,41.0,010-041.99,bacterial infection
A208,41.0,010-041.99,bacterial infection
A209,41.0,010-041.99,bacterial infection
A221,480.1,480-488.99,Pneumonia and influenza
A227,38.2,010-041.99,bacterial infection
A239,41.0,010-041.99,bacterial infection
A241,41.0,010-041.99,bacterial infection
A244,41.0,010-041.99,bacterial infection
A260,529.1,527-529.99,Diseases of mouth; excluding dental
A260,41.0,010-041.99,bacterial infection
A269,41.0,010-041.99,bacterial infection
A270,130.0,130-136.99,Other infections; including parasitic
A279,130.0,130-136.99,Other infections; including parasitic
A280,41.0,010-041.99,bacterial infection
A281,79.0,050-079.99,Viral infection
A282,41.0,010-041.99,bacterial infection
A288,41.0,010-041.99,bacterial infection
A303,31.1,010-041.99,bacterial infection
A304,31.1,010-041.99,bacterial infection
A308,31.1,010-041.99,bacterial infection
A310,480.1,480-488.99,Pneumonia and influenza
A311,686.0,680-686.99,Skin and subcutaneous tissue infections
A318,31.0,010-041.99,bacterial infection
A319,31.0,010-041.99,bacterial infection
A321,41.0,010-041.99,bacterial infection
A327,41.0,010-041.99,bacterial infection
A328,41.0,010-041.99,bacterial infection
A329,41.0,010-041.99,bacterial infection
A361,465.0,460-469.99,acute upper respiratory infections
A362,465.0,460-469.99,acute upper respiratory infections
A363,686.0,680-686.99,Skin and subcutaneous tissue infections
A368,41.0,010-041.99,bacterial infection
A369,41.0,010-041.99,bacterial infection
A370,41.0,010-041.99,bacterial infection
A379,41.0,010-041.99,bacterial infection
A38,41.2,010-041.99,bacterial infection
A390,320.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A391,41.0,010-041.99,bacterial infection
A392,38.1,010-041.99,bacterial infection
A393,38.1,010-041.99,bacterial infection
A394,38.1,010-041.99,bacterial infection
A395,420.0,420-425.99,Other peri-; endo-; and myocarditis
A398,41.0,010-041.99,bacterial infection
A399,41.0,010-041.99,bacterial infection
A400,38.1,010-041.99,bacterial infection
A401,41.2,010-041.99,bacterial infection
A401,38.1,010-041.99,bacterial infection
A402,41.2,010-041.99,bacterial infection
A402,38.1,010-041.99,bacterial infection
A403,38.2,010-041.99,bacterial infection
A408,38.1,010-041.99,bacterial infection
A409,38.1,010-041.99,bacterial infection
A410,38.2,010-041.99,bacterial infection
A411,38.2,010-041.99,bacterial infection
A412,38.2,010-041.99,bacterial infection
A413,38.1,010-041.99,bacterial infection
A414,38.0,010-041.99,bacterial infection
A415,38.1,010-041.99,bacterial infection
A418,38.0,010-041.99,bacterial infection
A419,994.2,994-994.99,Sepsis and SIRS
A419,38.0,010-041.99,bacterial infection
A421,41.0,010-041.99,bacterial infection
A422,41.0,010-041.99,bacterial infection
A428,41.0,010-041.99,bacterial infection
A429,41.0,010-041.99,bacterial infection
A431,686.0,680-686.99,Skin and subcutaneous tissue infections
A441,133.0,130-136.99,Other infections; including parasitic
A448,133.0,130-136.99,Other infections; including parasitic
A449,133.0,130-136.99,Other infections; including parasitic
A46,686.0,680-686.99,Skin and subcutaneous tissue infections
A480,41.0,010-041.99,bacterial infection
A481,480.1,480-488.99,Pneumonia and influenza
A482,41.0,010-041.99,bacterial infection
A483,41.0,010-041.99,bacterial infection
A484,41.0,010-041.99,bacterial infection
A488,41.0,010-041.99,bacterial infection
A490,41.1,010-041.99,bacterial infection
A491,41.2,010-041.99,bacterial infection
A492,41.0,010-041.99,bacterial infection
A493,41.0,010-041.99,bacterial infection
A498,41.0,010-041.99,bacterial infection
A499,41.0,010-041.99,bacterial infection
A511,90.0,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A512,90.0,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A513,90.0,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A514,90.0,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A521,90.0,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A522,90.0,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A523,90.0,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A527,90.0,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A528,90.0,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A529,90.0,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A530,90.0,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A539,90.0,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A541,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A542,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A543,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A544,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A545,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A548,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A549,90.2,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A560,90.3,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A568,90.3,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A58,90.0,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A590,131.0,130-136.99,Other infections; including parasitic
A598,131.0,130-136.99,Other infections; including parasitic
A599,131.0,130-136.99,Other infections; including parasitic
A600,54.0,050-079.99,Viral infection
A601,54.0,050-079.99,Viral infection
A609,54.0,050-079.99,Viral infection
A630,78.0,050-079.99,Viral infection
A638,90.0,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A64,90.0,090-092.99,Sexually transmitted infections (not hiv or hepatitis)
A661,130.0,130-136.99,Other infections; including parasitic
A666,130.0,130-136.99,Other infections; including parasitic
A668,130.0,130-136.99,Other infections; including parasitic
A669,130.0,130-136.99,Other infections; including parasitic
A671,130.0,130-136.99,Other infections; including parasitic
A672,130.0,130-136.99,Other infections; including parasitic
A673,130.0,130-136.99,Other infections; including parasitic
A679,130.0,130-136.99,Other infections; including parasitic
A681,130.0,130-136.99,Other infections; including parasitic
A689,130.0,130-136.99,Other infections; including parasitic
A691,130.0,130-136.99,Other infections; including parasitic
A692,130.1,130-136.99,Other infections; including parasitic
A698,130.0,130-136.99,Other infections; including parasitic
A699,130.0,130-136.99,Other infections; including parasitic
A70,79.0,050-079.99,Viral infection
A719,369.0,369-374.99,infection/inflammation of eye
A749,79.0,050-079.99,Viral infection
A750,136.0,130-136.99,Other infections; including parasitic
A751,136.0,130-136.99,Other infections; including parasitic
A752,136.0,130-136.99,Other infections; including parasitic
A753,136.0,130-136.99,Other infections; including parasitic
A759,136.0,130-136.99,Other infections; including parasitic
A770,136.0,130-136.99,Other infections; including parasitic
A773,136.0,130-136.99,Other infections; including parasitic
A778,136.0,130-136.99,Other infections; including parasitic
A779,136.0,130-136.99,Other infections; including parasitic
A78,480.1,480-488.99,Pneumonia and influenza
A791,136.0,130-136.99,Other infections; including parasitic
A798,136.0,130-136.99,Other infections; including parasitic
A799,136.0,130-136.99,Other infections; including parasitic
A803,324.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A809,324.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A810,324.1,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A811,323.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A812,324.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A818,324.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A819,324.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A821,79.0,050-079.99,Viral infection
A838,323.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A839,323.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A841,323.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A848,323.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A849,323.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A850,323.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A858,323.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A86,323.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A870,320.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A871,320.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A872,320.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A878,320.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A879,320.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A881,79.0,050-079.99,Viral infection
A881,386.2,386-386.99,conditions associated with dizziness or vertigo
A89,323.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
A90,79.0,050-079.99,Viral infection
A91,79.0,050-079.99,Viral infection
A920,79.0,050-079.99,Viral infection
A921,79.0,050-079.99,Viral infection
A938,79.0,050-079.99,Viral infection
A94,79.0,050-079.99,Viral infection
B000,54.0,050-079.99,Viral infection
B001,54.0,050-079.99,Viral infection
B002,54.0,050-079.99,Viral infection
B003,320.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B004,323.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B005,369.2,369-374.99,infection/inflammation of eye
B008,79.0,050-079.99,Viral infection
B008,54.0,050-079.99,Viral infection
B009,54.0,050-079.99,Viral infection
B010,320.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B011,323.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B012,480.2,480-488.99,Pneumonia and influenza
B018,79.1,050-079.99,Viral infection
B019,79.1,050-079.99,Viral infection
B020,323.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B021,320.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B022,53.1,050-079.99,Viral infection
B023,369.2,369-374.99,infection/inflammation of eye
B027,53.0,050-079.99,Viral infection
B028,53.0,050-079.99,Viral infection
B029,53.0,050-079.99,Viral infection
B059,79.0,050-079.99,Viral infection
B068,79.0,050-079.99,Viral infection
B069,79.0,050-079.99,Viral infection
B07,78.0,050-079.99,Viral infection
B080,79.0,050-079.99,Viral infection
B081,79.0,050-079.99,Viral infection
B082,54.0,050-079.99,Viral infection
B083,79.0,050-079.99,Viral infection
B084,79.0,050-079.99,Viral infection
B085,79.0,050-079.99,Viral infection
B088,79.0,050-079.99,Viral infection
B09,79.0,050-079.99,Viral infection
B159,70.1,050-079.99,Viral infection
B160,70.2,050-079.99,Viral infection
B161,70.2,050-079.99,Viral infection
B162,70.2,050-079.99,Viral infection
B169,70.2,050-079.99,Viral infection
B171,70.3,050-079.99,Viral infection
B172,70.0,050-079.99,Viral infection
B178,70.0,050-079.99,Viral infection
B180,70.2,050-079.99,Viral infection
B181,70.2,050-079.99,Viral infection
B182,70.3,050-079.99,Viral infection
B188,70.0,050-079.99,Viral infection
B189,70.0,050-079.99,Viral infection
B199,70.0,050-079.99,Viral infection
B200,71.1,050-079.99,Viral infection
B201,71.1,050-079.99,Viral infection
B202,79.0,050-079.99,Viral infection
B202,71.1,050-079.99,Viral infection
B203,71.1,050-079.99,Viral infection
B204,71.1,050-079.99,Viral infection
B204,112.0,110-118.99,Mycoses
B206,480.3,480-488.99,Pneumonia and influenza
B206,71.1,050-079.99,Viral infection
B207,136.0,130-136.99,Other infections; including parasitic
B208,71.1,050-079.99,Viral infection
B210,230.0,230-230.99,Kaposi's sarcoma
B211,202.2,200-204.99,cancer of lymphatic and hematopoietic tissue
B211,71.1,050-079.99,Viral infection
B212,71.1,050-079.99,Viral infection
B213,71.1,050-079.99,Viral infection
B217,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
B218,71.1,050-079.99,Viral infection
B220,71.1,050-079.99,Viral infection
B220,348.8,"330-337.99, 341-349.99",hereditary/degenerative nervous conditions; other diseases of CNS
B221,504.0,500-509.99,Pneumoconioses and other lung diseases
B222,71.1,050-079.99,Viral infection
B222,798.0,798-798.99,Malaise and fatigue
B222,260.1,260-264.99,Nutritional deficiencies
B227,71.1,050-079.99,Viral infection
B230,71.1,050-079.99,Viral infection
B230,79.0,050-079.99,Viral infection
B230,136.0,130-136.99,Other infections; including parasitic
B232,71.1,050-079.99,Viral infection
B238,71.1,050-079.99,Viral infection
B24,71.1,050-079.99,Viral infection
B250,480.2,480-488.99,Pneumonia and influenza
B251,70.0,050-079.99,Viral infection
B252,79.0,050-079.99,Viral infection
B252,577.1,577-577.99,pancreatic disorders
B258,79.0,050-079.99,Viral infection
B259,79.0,050-079.99,Viral infection
B260,79.0,050-079.99,Viral infection
B269,79.0,050-079.99,Viral infection
B270,79.2,050-079.99,Viral infection
B271,79.2,050-079.99,Viral infection
B278,79.2,050-079.99,Viral infection
B279,79.2,050-079.99,Viral infection
B300,369.2,369-374.99,infection/inflammation of eye
B301,369.2,369-374.99,infection/inflammation of eye
B302,369.2,369-374.99,infection/inflammation of eye
B303,369.2,369-374.99,infection/inflammation of eye
B308,369.2,369-374.99,infection/inflammation of eye
B309,369.2,369-374.99,infection/inflammation of eye
B330,79.0,050-079.99,Viral infection
B331,79.0,050-079.99,Viral infection
B332,420.0,420-425.99,Other peri-; endo-; and myocarditis
B333,79.0,050-079.99,Viral infection
B338,79.0,050-079.99,Viral infection
B340,79.0,050-079.99,Viral infection
B341,79.0,050-079.99,Viral infection
B342,79.0,050-079.99,Viral infection
B343,79.0,050-079.99,Viral infection
B344,79.0,050-079.99,Viral infection
B348,79.0,050-079.99,Viral infection
B349,79.0,050-079.99,Viral infection
B351,110.11,110-118.99,Mycoses
B352,110.1,110-118.99,Mycoses
B353,110.12,110-118.99,Mycoses
B354,110.13,110-118.99,Mycoses
B355,110.13,110-118.99,Mycoses
B356,110.13,110-118.99,Mycoses
B358,110.1,110-118.99,Mycoses
B359,110.1,110-118.99,Mycoses
B360,110.2,110-118.99,Mycoses
B361,110.2,110-118.99,Mycoses
B362,110.2,110-118.99,Mycoses
B363,110.2,110-118.99,Mycoses
B368,110.2,110-118.99,Mycoses
B369,110.1,110-118.99,Mycoses
B370,112.0,110-118.99,Mycoses
B371,480.3,480-488.99,Pneumonia and influenza
B372,112.3,110-118.99,Mycoses
B373,112.0,110-118.99,Mycoses
B374,112.0,110-118.99,Mycoses
B375,320.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B377,112.0,110-118.99,Mycoses
B378,112.0,110-118.99,Mycoses
B379,112.0,110-118.99,Mycoses
B381,480.3,480-488.99,Pneumonia and influenza
B382,480.3,480-488.99,Pneumonia and influenza
B388,117.2,110-118.99,Mycoses
B389,117.2,110-118.99,Mycoses
B390,117.1,110-118.99,Mycoses
B391,117.1,110-118.99,Mycoses
B392,117.1,110-118.99,Mycoses
B393,117.1,110-118.99,Mycoses
B399,117.1,110-118.99,Mycoses
B408,117.3,110-118.99,Mycoses
B409,117.3,110-118.99,Mycoses
B432,117.0,110-118.99,Mycoses
B440,117.4,110-118.99,Mycoses
B440,480.3,480-488.99,Pneumonia and influenza
B441,117.4,110-118.99,Mycoses
B447,117.4,110-118.99,Mycoses
B448,117.4,110-118.99,Mycoses
B449,117.4,110-118.99,Mycoses
B450,117.0,110-118.99,Mycoses
B451,320.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B459,117.0,110-118.99,Mycoses
B470,117.0,110-118.99,Mycoses
B479,41.0,010-041.99,bacterial infection
B487,117.0,110-118.99,Mycoses
B49,117.0,110-118.99,Mycoses
B500,133.0,130-136.99,Other infections; including parasitic
B508,133.0,130-136.99,Other infections; including parasitic
B509,133.0,130-136.99,Other infections; including parasitic
B518,133.0,130-136.99,Other infections; including parasitic
B519,133.0,130-136.99,Other infections; including parasitic
B529,133.0,130-136.99,Other infections; including parasitic
B530,133.0,130-136.99,Other infections; including parasitic
B538,133.0,130-136.99,Other infections; including parasitic
B54,133.0,130-136.99,Other infections; including parasitic
B550,133.0,130-136.99,Other infections; including parasitic
B551,133.0,130-136.99,Other infections; including parasitic
B552,133.0,130-136.99,Other infections; including parasitic
B559,133.0,130-136.99,Other infections; including parasitic
B573,133.0,130-136.99,Other infections; including parasitic
B580,131.0,130-136.99,Other infections; including parasitic
B582,323.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B588,131.0,130-136.99,Other infections; including parasitic
B589,131.0,130-136.99,Other infections; including parasitic
B59,480.3,480-488.99,Pneumonia and influenza
B601,136.0,130-136.99,Other infections; including parasitic
B650,134.0,130-136.99,Other infections; including parasitic
B651,134.0,130-136.99,Other infections; including parasitic
B652,134.0,130-136.99,Other infections; including parasitic
B653,134.0,130-136.99,Other infections; including parasitic
B658,134.0,130-136.99,Other infections; including parasitic
B659,134.0,130-136.99,Other infections; including parasitic
B663,134.0,130-136.99,Other infections; including parasitic
B670,134.1,130-136.99,Other infections; including parasitic
B675,134.1,130-136.99,Other infections; including parasitic
B678,134.1,130-136.99,Other infections; including parasitic
B679,134.1,130-136.99,Other infections; including parasitic
B689,134.1,130-136.99,Other infections; including parasitic
B769,134.0,130-136.99,Other infections; including parasitic
B779,134.1,130-136.99,Other infections; including parasitic
B787,134.1,130-136.99,Other infections; including parasitic
B789,134.1,130-136.99,Other infections; including parasitic
B80,134.1,130-136.99,Other infections; including parasitic
B814,134.1,130-136.99,Other infections; including parasitic
B820,134.1,130-136.99,Other infections; including parasitic
B829,134.0,130-136.99,Other infections; including parasitic
B832,134.0,130-136.99,Other infections; including parasitic
B838,134.0,130-136.99,Other infections; including parasitic
B839,134.0,130-136.99,Other infections; including parasitic
B850,132.1,130-136.99,Other infections; including parasitic
B851,132.1,130-136.99,Other infections; including parasitic
B86,132.0,130-136.99,Other infections; including parasitic
B870,132.0,130-136.99,Other infections; including parasitic
B879,132.0,130-136.99,Other infections; including parasitic
B880,132.0,130-136.99,Other infections; including parasitic
B881,132.0,130-136.99,Other infections; including parasitic
B888,132.0,130-136.99,Other infections; including parasitic
B889,132.0,130-136.99,Other infections; including parasitic
B89,136.0,130-136.99,Other infections; including parasitic
B900,10.0,010-041.99,bacterial infection
B901,10.0,010-041.99,bacterial infection
B902,10.0,010-041.99,bacterial infection
B908,10.0,010-041.99,bacterial infection
B909,10.0,010-041.99,bacterial infection
B91,324.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B940,369.0,369-374.99,infection/inflammation of eye
B941,323.0,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
B942,136.0,130-136.99,Other infections; including parasitic
B948,136.0,130-136.99,Other infections; including parasitic
B949,136.0,130-136.99,Other infections; including parasitic
B950,41.2,010-041.99,bacterial infection
B951,41.2,010-041.99,bacterial infection
B952,41.2,010-041.99,bacterial infection
B953,41.2,010-041.99,bacterial infection
B954,41.2,010-041.99,bacterial infection
B955,41.2,010-041.99,bacterial infection
B956,41.1,010-041.99,bacterial infection
B957,41.1,010-041.99,bacterial infection
B958,41.1,010-041.99,bacterial infection
B960,480.1,480-488.99,Pneumonia and influenza
B961,480.1,480-488.99,Pneumonia and influenza
B962,41.4,010-041.99,bacterial infection
B963,41.0,010-041.99,bacterial infection
B964,41.0,010-041.99,bacterial infection
B965,41.0,010-041.99,bacterial infection
B966,41.0,010-041.99,bacterial infection
B967,41.0,010-041.99,bacterial infection
B968,41.0,010-041.99,bacterial infection
B970,79.0,050-079.99,Viral infection
B971,79.0,050-079.99,Viral infection
B973,79.0,050-079.99,Viral infection
B974,79.0,050-079.99,Viral infection
B975,79.0,050-079.99,Viral infection
B976,79.0,050-079.99,Viral infection
B977,79.0,050-079.99,Viral infection
B978,79.0,050-079.99,Viral infection
B99,136.0,130-136.99,Other infections; including parasitic
C000,145.1,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C001,145.1,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C002,145.1,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C003,145.1,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C004,145.1,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C005,145.1,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C006,145.1,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C009,145.1,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C01,145.2,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C020,145.2,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C021,145.2,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C022,145.2,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C023,145.2,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C024,145.2,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C028,145.2,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C029,145.2,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C030,145.4,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C031,145.4,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C039,145.4,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C040,145.5,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C041,145.5,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C048,145.5,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C049,145.5,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C050,145.0,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C051,145.0,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C052,145.0,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C058,145.0,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C059,145.0,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C060,145.0,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C061,145.0,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C062,145.0,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C068,145.0,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C068,149.0,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C068,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C069,145.0,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C07,145.3,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C080,145.3,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C081,145.3,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C088,145.3,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C089,145.3,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
