,features,id,names,category
58,f.10854.4.0,10854,Other dietary supplements (pilot),Medication
59,f.10854.5.0,10854,Other dietary supplements (pilot),Medication
60,f.10854.6.0,10854,Other dietary supplements (pilot),Medication
61,f.10855.-3.0,10855,"Never eat eggs, dairy, wheat, sugar (pilot)",Diet
62,f.10855.1.0,10855,"Never eat eggs, dairy, wheat, sugar (pilot)",Diet
63,f.10855.2.0,10855,"Never eat eggs, dairy, wheat, sugar (pilot)",Diet
64,f.10855.3.0,10855,"Never eat eggs, dairy, wheat, sugar (pilot)",Diet
65,f.10855.4.0,10855,"Never eat eggs, dairy, wheat, sugar (pilot)",Diet
66,f.10855.5.0,10855,"Never eat eggs, dairy, wheat, sugar (pilot)",Diet
67,f.10860.-1.0,10860,Gas or solid-fuel cooking/heating (pilot),Household
68,f.10860.-3.0,10860,Gas or solid-fuel cooking/heating (pilot),Household
69,f.10860.-7.0,10860,Gas or solid-fuel cooking/heating (pilot),Household
70,f.10860.1.0,10860,Gas or solid-fuel cooking/heating (pilot),Household
71,f.10860.2.0,10860,Gas or solid-fuel cooking/heating (pilot),Household
72,f.10860.3.0,10860,Gas or solid-fuel cooking/heating (pilot),Household
73,f.20001.1001.0,20001,"Cancer code, self-reported",Medical conditions
74,f.20001.1002.0,20001,"Cancer code, self-reported",Medical conditions
75,f.20001.1003.0,20001,"Cancer code, self-reported",Medical conditions
76,f.20001.1004.0,20001,"Cancer code, self-reported",Medical conditions
77,f.20001.1005.0,20001,"Cancer code, self-reported",Medical conditions
78,f.20001.1006.0,20001,"Cancer code, self-reported",Medical conditions
79,f.20001.1007.0,20001,"Cancer code, self-reported",Medical conditions
80,f.20001.1008.0,20001,"Cancer code, self-reported",Medical conditions
81,f.20001.1009.0,20001,"Cancer code, self-reported",Medical conditions
82,f.20001.1010.0,20001,"Cancer code, self-reported",Medical conditions
83,f.20001.1011.0,20001,"Cancer code, self-reported",Medical conditions
84,f.20001.1012.0,20001,"Cancer code, self-reported",Medical conditions
85,f.20001.1015.0,20001,"Cancer code, self-reported",Medical conditions
86,f.20001.1016.0,20001,"Cancer code, self-reported",Medical conditions
87,f.20001.1017.0,20001,"Cancer code, self-reported",Medical conditions
88,f.20001.1018.0,20001,"Cancer code, self-reported",Medical conditions
89,f.20001.1019.0,20001,"Cancer code, self-reported",Medical conditions
90,f.20001.1020.0,20001,"Cancer code, self-reported",Medical conditions
91,f.20001.1021.0,20001,"Cancer code, self-reported",Medical conditions
92,f.20001.1022.0,20001,"Cancer code, self-reported",Medical conditions
93,f.20001.1023.0,20001,"Cancer code, self-reported",Medical conditions
94,f.20001.1024.0,20001,"Cancer code, self-reported",Medical conditions
95,f.20001.1025.0,20001,"Cancer code, self-reported",Medical conditions
96,f.20001.1026.0,20001,"Cancer code, self-reported",Medical conditions
97,f.20001.1027.0,20001,"Cancer code, self-reported",Medical conditions
98,f.20001.1028.0,20001,"Cancer code, self-reported",Medical conditions
99,f.20001.1029.0,20001,"Cancer code, self-reported",Medical conditions
100,f.20001.1030.0,20001,"Cancer code, self-reported",Medical conditions
101,f.20001.1031.0,20001,"Cancer code, self-reported",Medical conditions
102,f.20001.1032.0,20001,"Cancer code, self-reported",Medical conditions
103,f.20001.1033.0,20001,"Cancer code, self-reported",Medical conditions
104,f.20001.1034.0,20001,"Cancer code, self-reported",Medical conditions
105,f.20001.1035.0,20001,"Cancer code, self-reported",Medical conditions
106,f.20001.1036.0,20001,"Cancer code, self-reported",Medical conditions
107,f.20001.1037.0,20001,"Cancer code, self-reported",Medical conditions
108,f.20001.1038.0,20001,"Cancer code, self-reported",Medical conditions
109,f.20001.1039.0,20001,"Cancer code, self-reported",Medical conditions
110,f.20001.1040.0,20001,"Cancer code, self-reported",Medical conditions
111,f.20001.1041.0,20001,"Cancer code, self-reported",Medical conditions
112,f.20001.1042.0,20001,"Cancer code, self-reported",Medical conditions
113,f.20001.1043.0,20001,"Cancer code, self-reported",Medical conditions
114,f.20001.1044.0,20001,"Cancer code, self-reported",Medical conditions
115,f.20001.1045.0,20001,"Cancer code, self-reported",Medical conditions
116,f.20001.1046.0,20001,"Cancer code, self-reported",Medical conditions
117,f.20001.1047.0,20001,"Cancer code, self-reported",Medical conditions
118,f.20001.1048.0,20001,"Cancer code, self-reported",Medical conditions
119,f.20001.1050.0,20001,"Cancer code, self-reported",Medical conditions
120,f.20001.1051.0,20001,"Cancer code, self-reported",Medical conditions
121,f.20001.1052.0,20001,"Cancer code, self-reported",Medical conditions
122,f.20001.1053.0,20001,"Cancer code, self-reported",Medical conditions
123,f.20001.1055.0,20001,"Cancer code, self-reported",Medical conditions
124,f.20001.1056.0,20001,"Cancer code, self-reported",Medical conditions
125,f.20001.1058.0,20001,"Cancer code, self-reported",Medical conditions
126,f.20001.1059.0,20001,"Cancer code, self-reported",Medical conditions
127,f.20001.1060.0,20001,"Cancer code, self-reported",Medical conditions
128,f.20001.1061.0,20001,"Cancer code, self-reported",Medical conditions
129,f.20001.1062.0,20001,"Cancer code, self-reported",Medical conditions
130,f.20001.1063.0,20001,"Cancer code, self-reported",Medical conditions
131,f.20001.1064.0,20001,"Cancer code, self-reported",Medical conditions
132,f.20001.1065.0,20001,"Cancer code, self-reported",Medical conditions
133,f.20001.1066.0,20001,"Cancer code, self-reported",Medical conditions
134,f.20001.1067.0,20001,"Cancer code, self-reported",Medical conditions
135,f.20001.1068.0,20001,"Cancer code, self-reported",Medical conditions
136,f.20001.1070.0,20001,"Cancer code, self-reported",Medical conditions
137,f.20001.1071.0,20001,"Cancer code, self-reported",Medical conditions
138,f.20001.1072.0,20001,"Cancer code, self-reported",Medical conditions
139,f.20001.1073.0,20001,"Cancer code, self-reported",Medical conditions
140,f.20001.1074.0,20001,"Cancer code, self-reported",Medical conditions
141,f.20001.1075.0,20001,"Cancer code, self-reported",Medical conditions
142,f.20001.1076.0,20001,"Cancer code, self-reported",Medical conditions
143,f.20001.1077.0,20001,"Cancer code, self-reported",Medical conditions
144,f.20001.1078.0,20001,"Cancer code, self-reported",Medical conditions
145,f.20001.1079.0,20001,"Cancer code, self-reported",Medical conditions
146,f.20001.1080.0,20001,"Cancer code, self-reported",Medical conditions
147,f.20001.1081.0,20001,"Cancer code, self-reported",Medical conditions
148,f.20001.1082.0,20001,"Cancer code, self-reported",Medical conditions
149,f.20001.1084.0,20001,"Cancer code, self-reported",Medical conditions
150,f.20001.1085.0,20001,"Cancer code, self-reported",Medical conditions
151,f.20001.1086.0,20001,"Cancer code, self-reported",Medical conditions
152,f.20001.1087.0,20001,"Cancer code, self-reported",Medical conditions
153,f.20001.1088.0,20001,"Cancer code, self-reported",Medical conditions
154,f.20001.99999.0,20001,"Cancer code, self-reported",Medical conditions
155,f.20002.1065.0,20002,"Non-cancer illness code, self-reported",Medical conditions
156,f.20002.1066.0,20002,"Non-cancer illness code, self-reported",Medical conditions
157,f.20002.1067.0,20002,"Non-cancer illness code, self-reported",Medical conditions
158,f.20002.1068.0,20002,"Non-cancer illness code, self-reported",Medical conditions
159,f.20002.1072.0,20002,"Non-cancer illness code, self-reported",Medical conditions
160,f.20002.1073.0,20002,"Non-cancer illness code, self-reported",Medical conditions
161,f.20002.1074.0,20002,"Non-cancer illness code, self-reported",Medical conditions
162,f.20002.1075.0,20002,"Non-cancer illness code, self-reported",Medical conditions
163,f.20002.1076.0,20002,"Non-cancer illness code, self-reported",Medical conditions
164,f.20002.1077.0,20002,"Non-cancer illness code, self-reported",Medical conditions
165,f.20002.1078.0,20002,"Non-cancer illness code, self-reported",Medical conditions
166,f.20002.1079.0,20002,"Non-cancer illness code, self-reported",Medical conditions
167,f.20002.1080.0,20002,"Non-cancer illness code, self-reported",Medical conditions
168,f.20002.1081.0,20002,"Non-cancer illness code, self-reported",Medical conditions
169,f.20002.1082.0,20002,"Non-cancer illness code, self-reported",Medical conditions
170,f.20002.1083.0,20002,"Non-cancer illness code, self-reported",Medical conditions
171,f.20002.1086.0,20002,"Non-cancer illness code, self-reported",Medical conditions
172,f.20002.1087.0,20002,"Non-cancer illness code, self-reported",Medical conditions
173,f.20002.1088.0,20002,"Non-cancer illness code, self-reported",Medical conditions
174,f.20002.1093.0,20002,"Non-cancer illness code, self-reported",Medical conditions
175,f.20002.1094.0,20002,"Non-cancer illness code, self-reported",Medical conditions
176,f.20002.1111.0,20002,"Non-cancer illness code, self-reported",Medical conditions
177,f.20002.1112.0,20002,"Non-cancer illness code, self-reported",Medical conditions
178,f.20002.1113.0,20002,"Non-cancer illness code, self-reported",Medical conditions
179,f.20002.1114.0,20002,"Non-cancer illness code, self-reported",Medical conditions
180,f.20002.1115.0,20002,"Non-cancer illness code, self-reported",Medical conditions
181,f.20002.1117.0,20002,"Non-cancer illness code, self-reported",Medical conditions
182,f.20002.1120.0,20002,"Non-cancer illness code, self-reported",Medical conditions
183,f.20002.1121.0,20002,"Non-cancer illness code, self-reported",Medical conditions
184,f.20002.1122.0,20002,"Non-cancer illness code, self-reported",Medical conditions
185,f.20002.1123.0,20002,"Non-cancer illness code, self-reported",Medical conditions
186,f.20002.1124.0,20002,"Non-cancer illness code, self-reported",Medical conditions
187,f.20002.1125.0,20002,"Non-cancer illness code, self-reported",Medical conditions
188,f.20002.1126.0,20002,"Non-cancer illness code, self-reported",Medical conditions
189,f.20002.1134.0,20002,"Non-cancer illness code, self-reported",Medical conditions
190,f.20002.1135.0,20002,"Non-cancer illness code, self-reported",Medical conditions
191,f.20002.1136.0,20002,"Non-cancer illness code, self-reported",Medical conditions
192,f.20002.1137.0,20002,"Non-cancer illness code, self-reported",Medical conditions
193,f.20002.1138.0,20002,"Non-cancer illness code, self-reported",Medical conditions
194,f.20002.1139.0,20002,"Non-cancer illness code, self-reported",Medical conditions
195,f.20002.1140.0,20002,"Non-cancer illness code, self-reported",Medical conditions
196,f.20002.1141.0,20002,"Non-cancer illness code, self-reported",Medical conditions
197,f.20002.1142.0,20002,"Non-cancer illness code, self-reported",Medical conditions
198,f.20002.1143.0,20002,"Non-cancer illness code, self-reported",Medical conditions
199,f.20002.1154.0,20002,"Non-cancer illness code, self-reported",Medical conditions
200,f.20002.1155.0,20002,"Non-cancer illness code, self-reported",Medical conditions
201,f.20002.1156.0,20002,"Non-cancer illness code, self-reported",Medical conditions
202,f.20002.1157.0,20002,"Non-cancer illness code, self-reported",Medical conditions
203,f.20002.1158.0,20002,"Non-cancer illness code, self-reported",Medical conditions
204,f.20002.1159.0,20002,"Non-cancer illness code, self-reported",Medical conditions
205,f.20002.1160.0,20002,"Non-cancer illness code, self-reported",Medical conditions
206,f.20002.1161.0,20002,"Non-cancer illness code, self-reported",Medical conditions
207,f.20002.1162.0,20002,"Non-cancer illness code, self-reported",Medical conditions
208,f.20002.1163.0,20002,"Non-cancer illness code, self-reported",Medical conditions
209,f.20002.1164.0,20002,"Non-cancer illness code, self-reported",Medical conditions
210,f.20002.1165.0,20002,"Non-cancer illness code, self-reported",Medical conditions
211,f.20002.1190.0,20002,"Non-cancer illness code, self-reported",Medical conditions
212,f.20002.1191.0,20002,"Non-cancer illness code, self-reported",Medical conditions
213,f.20002.1192.0,20002,"Non-cancer illness code, self-reported",Medical conditions
214,f.20002.1193.0,20002,"Non-cancer illness code, self-reported",Medical conditions
215,f.20002.1194.0,20002,"Non-cancer illness code, self-reported",Medical conditions
216,f.20002.1196.0,20002,"Non-cancer illness code, self-reported",Medical conditions
217,f.20002.1197.0,20002,"Non-cancer illness code, self-reported",Medical conditions
218,f.20002.1200.0,20002,"Non-cancer illness code, self-reported",Medical conditions
219,f.20002.1201.0,20002,"Non-cancer illness code, self-reported",Medical conditions
220,f.20002.1202.0,20002,"Non-cancer illness code, self-reported",Medical conditions
221,f.20002.1207.0,20002,"Non-cancer illness code, self-reported",Medical conditions
222,f.20002.1210.0,20002,"Non-cancer illness code, self-reported",Medical conditions
223,f.20002.1214.0,20002,"Non-cancer illness code, self-reported",Medical conditions
224,f.20002.1220.0,20002,"Non-cancer illness code, self-reported",Medical conditions
225,f.20002.1221.0,20002,"Non-cancer illness code, self-reported",Medical conditions
226,f.20002.1222.0,20002,"Non-cancer illness code, self-reported",Medical conditions
227,f.20002.1223.0,20002,"Non-cancer illness code, self-reported",Medical conditions
228,f.20002.1224.0,20002,"Non-cancer illness code, self-reported",Medical conditions
229,f.20002.1225.0,20002,"Non-cancer illness code, self-reported",Medical conditions
230,f.20002.1226.0,20002,"Non-cancer illness code, self-reported",Medical conditions
231,f.20002.1228.0,20002,"Non-cancer illness code, self-reported",Medical conditions
232,f.20002.1229.0,20002,"Non-cancer illness code, self-reported",Medical conditions
233,f.20002.1230.0,20002,"Non-cancer illness code, self-reported",Medical conditions
234,f.20002.1232.0,20002,"Non-cancer illness code, self-reported",Medical conditions
235,f.20002.1233.0,20002,"Non-cancer illness code, self-reported",Medical conditions
236,f.20002.1234.0,20002,"Non-cancer illness code, self-reported",Medical conditions
237,f.20002.1235.0,20002,"Non-cancer illness code, self-reported",Medical conditions
238,f.20002.1236.0,20002,"Non-cancer illness code, self-reported",Medical conditions
239,f.20002.1237.0,20002,"Non-cancer illness code, self-reported",Medical conditions
240,f.20002.1238.0,20002,"Non-cancer illness code, self-reported",Medical conditions
241,f.20002.1239.0,20002,"Non-cancer illness code, self-reported",Medical conditions
242,f.20002.1240.0,20002,"Non-cancer illness code, self-reported",Medical conditions
243,f.20002.1242.0,20002,"Non-cancer illness code, self-reported",Medical conditions
244,f.20002.1243.0,20002,"Non-cancer illness code, self-reported",Medical conditions
245,f.20002.1244.0,20002,"Non-cancer illness code, self-reported",Medical conditions
246,f.20002.1245.0,20002,"Non-cancer illness code, self-reported",Medical conditions
247,f.20002.1246.0,20002,"Non-cancer illness code, self-reported",Medical conditions
248,f.20002.1247.0,20002,"Non-cancer illness code, self-reported",Medical conditions
249,f.20002.1248.0,20002,"Non-cancer illness code, self-reported",Medical conditions
250,f.20002.1249.0,20002,"Non-cancer illness code, self-reported",Medical conditions
251,f.20002.1250.0,20002,"Non-cancer illness code, self-reported",Medical conditions
252,f.20002.1251.0,20002,"Non-cancer illness code, self-reported",Medical conditions
253,f.20002.1252.0,20002,"Non-cancer illness code, self-reported",Medical conditions
254,f.20002.1254.0,20002,"Non-cancer illness code, self-reported",Medical conditions
255,f.20002.1255.0,20002,"Non-cancer illness code, self-reported",Medical conditions
256,f.20002.1256.0,20002,"Non-cancer illness code, self-reported",Medical conditions
257,f.20002.1257.0,20002,"Non-cancer illness code, self-reported",Medical conditions
258,f.20002.1258.0,20002,"Non-cancer illness code, self-reported",Medical conditions
259,f.20002.1259.0,20002,"Non-cancer illness code, self-reported",Medical conditions
260,f.20002.1260.0,20002,"Non-cancer illness code, self-reported",Medical conditions
261,f.20002.1261.0,20002,"Non-cancer illness code, self-reported",Medical conditions
262,f.20002.1262.0,20002,"Non-cancer illness code, self-reported",Medical conditions
263,f.20002.1263.0,20002,"Non-cancer illness code, self-reported",Medical conditions
264,f.20002.1264.0,20002,"Non-cancer illness code, self-reported",Medical conditions
265,f.20002.1265.0,20002,"Non-cancer illness code, self-reported",Medical conditions
266,f.20002.1266.0,20002,"Non-cancer illness code, self-reported",Medical conditions
267,f.20002.1267.0,20002,"Non-cancer illness code, self-reported",Medical conditions
268,f.20002.1274.0,20002,"Non-cancer illness code, self-reported",Medical conditions
269,f.20002.1275.0,20002,"Non-cancer illness code, self-reported",Medical conditions
270,f.20002.1276.0,20002,"Non-cancer illness code, self-reported",Medical conditions
271,f.20002.1277.0,20002,"Non-cancer illness code, self-reported",Medical conditions
272,f.20002.1278.0,20002,"Non-cancer illness code, self-reported",Medical conditions
273,f.20002.1279.0,20002,"Non-cancer illness code, self-reported",Medical conditions
274,f.20002.1281.0,20002,"Non-cancer illness code, self-reported",Medical conditions
275,f.20002.1282.0,20002,"Non-cancer illness code, self-reported",Medical conditions
276,f.20002.1286.0,20002,"Non-cancer illness code, self-reported",Medical conditions
277,f.20002.1287.0,20002,"Non-cancer illness code, self-reported",Medical conditions
278,f.20002.1288.0,20002,"Non-cancer illness code, self-reported",Medical conditions
279,f.20002.1289.0,20002,"Non-cancer illness code, self-reported",Medical conditions
280,f.20002.1290.0,20002,"Non-cancer illness code, self-reported",Medical conditions
281,f.20002.1291.0,20002,"Non-cancer illness code, self-reported",Medical conditions
282,f.20002.1293.0,20002,"Non-cancer illness code, self-reported",Medical conditions
283,f.20002.1294.0,20002,"Non-cancer illness code, self-reported",Medical conditions
284,f.20002.1295.0,20002,"Non-cancer illness code, self-reported",Medical conditions
285,f.20002.1297.0,20002,"Non-cancer illness code, self-reported",Medical conditions
286,f.20002.1308.0,20002,"Non-cancer illness code, self-reported",Medical conditions
287,f.20002.1309.0,20002,"Non-cancer illness code, self-reported",Medical conditions
288,f.20002.1310.0,20002,"Non-cancer illness code, self-reported",Medical conditions
289,f.20002.1311.0,20002,"Non-cancer illness code, self-reported",Medical conditions
290,f.20002.1312.0,20002,"Non-cancer illness code, self-reported",Medical conditions
291,f.20002.1313.0,20002,"Non-cancer illness code, self-reported",Medical conditions
292,f.20002.1322.0,20002,"Non-cancer illness code, self-reported",Medical conditions
293,f.20002.1327.0,20002,"Non-cancer illness code, self-reported",Medical conditions
294,f.20002.1328.0,20002,"Non-cancer illness code, self-reported",Medical conditions
295,f.20002.1330.0,20002,"Non-cancer illness code, self-reported",Medical conditions
296,f.20002.1331.0,20002,"Non-cancer illness code, self-reported",Medical conditions
297,f.20002.1332.0,20002,"Non-cancer illness code, self-reported",Medical conditions
298,f.20002.1339.0,20002,"Non-cancer illness code, self-reported",Medical conditions
299,f.20002.1340.0,20002,"Non-cancer illness code, self-reported",Medical conditions
300,f.20002.1344.0,20002,"Non-cancer illness code, self-reported",Medical conditions
301,f.20002.1345.0,20002,"Non-cancer illness code, self-reported",Medical conditions
302,f.20002.1348.0,20002,"Non-cancer illness code, self-reported",Medical conditions
303,f.20002.1349.0,20002,"Non-cancer illness code, self-reported",Medical conditions
304,f.20002.1350.0,20002,"Non-cancer illness code, self-reported",Medical conditions
305,f.20002.1351.0,20002,"Non-cancer illness code, self-reported",Medical conditions
306,f.20002.1352.0,20002,"Non-cancer illness code, self-reported",Medical conditions
307,f.20002.1353.0,20002,"Non-cancer illness code, self-reported",Medical conditions
308,f.20002.1364.0,20002,"Non-cancer illness code, self-reported",Medical conditions
309,f.20002.1366.0,20002,"Non-cancer illness code, self-reported",Medical conditions
310,f.20002.1367.0,20002,"Non-cancer illness code, self-reported",Medical conditions
311,f.20002.1371.0,20002,"Non-cancer illness code, self-reported",Medical conditions
312,f.20002.1372.0,20002,"Non-cancer illness code, self-reported",Medical conditions
313,f.20002.1373.0,20002,"Non-cancer illness code, self-reported",Medical conditions
314,f.20002.1374.0,20002,"Non-cancer illness code, self-reported",Medical conditions
315,f.20002.1376.0,20002,"Non-cancer illness code, self-reported",Medical conditions
316,f.20002.1377.0,20002,"Non-cancer illness code, self-reported",Medical conditions
317,f.20002.1378.0,20002,"Non-cancer illness code, self-reported",Medical conditions
318,f.20002.1379.0,20002,"Non-cancer illness code, self-reported",Medical conditions
319,f.20002.1380.0,20002,"Non-cancer illness code, self-reported",Medical conditions
320,f.20002.1381.0,20002,"Non-cancer illness code, self-reported",Medical conditions
321,f.20002.1382.0,20002,"Non-cancer illness code, self-reported",Medical conditions
322,f.20002.1383.0,20002,"Non-cancer illness code, self-reported",Medical conditions
323,f.20002.1384.0,20002,"Non-cancer illness code, self-reported",Medical conditions
324,f.20002.1385.0,20002,"Non-cancer illness code, self-reported",Medical conditions
325,f.20002.1386.0,20002,"Non-cancer illness code, self-reported",Medical conditions
326,f.20002.1387.0,20002,"Non-cancer illness code, self-reported",Medical conditions
327,f.20002.1394.0,20002,"Non-cancer illness code, self-reported",Medical conditions
328,f.20002.1396.0,20002,"Non-cancer illness code, self-reported",Medical conditions
329,f.20002.1397.0,20002,"Non-cancer illness code, self-reported",Medical conditions
330,f.20002.1398.0,20002,"Non-cancer illness code, self-reported",Medical conditions
331,f.20002.1400.0,20002,"Non-cancer illness code, self-reported",Medical conditions
332,f.20002.1402.0,20002,"Non-cancer illness code, self-reported",Medical conditions
333,f.20002.1403.0,20002,"Non-cancer illness code, self-reported",Medical conditions
334,f.20002.1404.0,20002,"Non-cancer illness code, self-reported",Medical conditions
335,f.20002.1405.0,20002,"Non-cancer illness code, self-reported",Medical conditions
336,f.20002.1406.0,20002,"Non-cancer illness code, self-reported",Medical conditions
337,f.20002.1407.0,20002,"Non-cancer illness code, self-reported",Medical conditions
338,f.20002.1408.0,20002,"Non-cancer illness code, self-reported",Medical conditions
339,f.20002.1409.0,20002,"Non-cancer illness code, self-reported",Medical conditions
340,f.20002.1410.0,20002,"Non-cancer illness code, self-reported",Medical conditions
341,f.20002.1411.0,20002,"Non-cancer illness code, self-reported",Medical conditions
342,f.20002.1412.0,20002,"Non-cancer illness code, self-reported",Medical conditions
343,f.20002.1413.0,20002,"Non-cancer illness code, self-reported",Medical conditions
344,f.20002.1414.0,20002,"Non-cancer illness code, self-reported",Medical conditions
345,f.20002.1415.0,20002,"Non-cancer illness code, self-reported",Medical conditions
346,f.20002.1416.0,20002,"Non-cancer illness code, self-reported",Medical conditions
347,f.20002.1417.0,20002,"Non-cancer illness code, self-reported",Medical conditions
348,f.20002.1418.0,20002,"Non-cancer illness code, self-reported",Medical conditions
349,f.20002.1419.0,20002,"Non-cancer illness code, self-reported",Medical conditions
350,f.20002.1420.0,20002,"Non-cancer illness code, self-reported",Medical conditions
351,f.20002.1421.0,20002,"Non-cancer illness code, self-reported",Medical conditions
352,f.20002.1425.0,20002,"Non-cancer illness code, self-reported",Medical conditions
353,f.20002.1426.0,20002,"Non-cancer illness code, self-reported",Medical conditions
354,f.20002.1427.0,20002,"Non-cancer illness code, self-reported",Medical conditions
355,f.20002.1428.0,20002,"Non-cancer illness code, self-reported",Medical conditions
356,f.20002.1429.0,20002,"Non-cancer illness code, self-reported",Medical conditions
357,f.20002.1430.0,20002,"Non-cancer illness code, self-reported",Medical conditions
358,f.20002.1431.0,20002,"Non-cancer illness code, self-reported",Medical conditions
359,f.20002.1432.0,20002,"Non-cancer illness code, self-reported",Medical conditions
360,f.20002.1433.0,20002,"Non-cancer illness code, self-reported",Medical conditions
361,f.20002.1434.0,20002,"Non-cancer illness code, self-reported",Medical conditions
362,f.20002.1435.0,20002,"Non-cancer illness code, self-reported",Medical conditions
363,f.20002.1436.0,20002,"Non-cancer illness code, self-reported",Medical conditions
364,f.20002.1437.0,20002,"Non-cancer illness code, self-reported",Medical conditions
365,f.20002.1438.0,20002,"Non-cancer illness code, self-reported",Medical conditions
366,f.20002.1439.0,20002,"Non-cancer illness code, self-reported",Medical conditions
367,f.20002.1440.0,20002,"Non-cancer illness code, self-reported",Medical conditions
368,f.20002.1441.0,20002,"Non-cancer illness code, self-reported",Medical conditions
369,f.20002.1442.0,20002,"Non-cancer illness code, self-reported",Medical conditions
370,f.20002.1443.0,20002,"Non-cancer illness code, self-reported",Medical conditions
371,f.20002.1445.0,20002,"Non-cancer illness code, self-reported",Medical conditions
372,f.20002.1446.0,20002,"Non-cancer illness code, self-reported",Medical conditions
373,f.20002.1447.0,20002,"Non-cancer illness code, self-reported",Medical conditions
374,f.20002.1448.0,20002,"Non-cancer illness code, self-reported",Medical conditions
375,f.20002.1449.0,20002,"Non-cancer illness code, self-reported",Medical conditions
